"assemblage","sequencing_depth","Method","expected_asvs","timepoint","diet_code","samples","total_reads","observed_asvs_pooled"
"D07__BL15",228000,"Rarefaction",137.564410342403,"D07","BL15",15,746251,138
"D07__BL15",229000,"Rarefaction",137.568466294629,"D07","BL15",15,746251,138
"D07__BL15",230000,"Rarefaction",137.572473109353,"D07","BL15",15,746251,138
"D07__BL15",231000,"Rarefaction",137.576431570882,"D07","BL15",15,746251,138
"D07__BL15",232000,"Rarefaction",137.580342450068,"D07","BL15",15,746251,138
"D07__BL15",233000,"Rarefaction",137.584206504056,"D07","BL15",15,746251,138
"D07__BL15",234000,"Rarefaction",137.58802447696,"D07","BL15",15,746251,138
"D07__BL15",235000,"Rarefaction",137.591797099929,"D07","BL15",15,746251,138
"D07__BL15",236000,"Rarefaction",137.595525091078,"D07","BL15",15,746251,138
"D07__BL15",237000,"Rarefaction",137.599209156387,"D07","BL15",15,746251,138
"D07__BL15",238000,"Rarefaction",137.602849989186,"D07","BL15",15,746251,138
"D07__BL15",239000,"Rarefaction",137.606448271097,"D07","BL15",15,746251,138
"D07__BL15",240000,"Rarefaction",137.610004671546,"D07","BL15",15,746251,138
"D07__BL15",241000,"Rarefaction",137.613519848542,"D07","BL15",15,746251,138
"D07__BL15",242000,"Rarefaction",137.616994448554,"D07","BL15",15,746251,138
"D07__BL15",243000,"Rarefaction",137.620429106809,"D07","BL15",15,746251,138
"D07__BL15",244000,"Rarefaction",137.62382444761,"D07","BL15",15,746251,138
"D07__BL15",245000,"Rarefaction",137.627181084295,"D07","BL15",15,746251,138
"D07__BL15",246000,"Rarefaction",137.630499619638,"D07","BL15",15,746251,138
"D07__BL15",247000,"Rarefaction",137.63378064585,"D07","BL15",15,746251,138
"D07__BL15",248000,"Rarefaction",137.637024745049,"D07","BL15",15,746251,138
"D07__BL15",249000,"Rarefaction",137.640232489071,"D07","BL15",15,746251,138
"D07__BL15",250000,"Rarefaction",137.64340443993,"D07","BL15",15,746251,138
